FIPS,% Smokers,% Obese,% Physically Inactive,% Excessive Drinking,% Unemployed,% Children in Poverty,% Uninsured,PCP Rate,Average Daily PM2.5,% Bachelor or Higher,Age-Adjusted Mortality
01001,19.124658497,36.4,30.9,16.878015122,5.271160669,19.3,9.3877118644,45.16957,10.8,27.7,449.6
01003,16.795485149,29.3,24.5,16.71496869,5.4152628126,17.6,11.524396615,72.65266,9.6,31.3,351.3
01005,21.540877567,44.2,30.6,12.698715423,8.6485184293,39.6,13.310452083,41.526669999999996,10.1,12.2,433.6
01007,19.916404243,38.4,37.5,15.925150788,6.6371165286,27.5,11.855881149,53.137319999999995,10.5,11.5,529.1
01009,19.652158178,35.8,29.0,15.378721894,5.5208970438,19.4,13.963659413,20.80696,11.3,12.6,480.2
01011,23.478291175,40.2,29.8,12.896317308,7.1710663064,45.7,14.50443191,28.04787,9.8,13.3,581.5
01013,22.197655522,36.0,33.9,13.042811266,7.1287779238,36.6,12.242647059,34.73256,9.4,16.1,602.7
01015,20.462231748,36.1,32.5,15.431677015,6.6973839368,25.7,11.396868085,64.86766999999999,11.6,18.0,564.3
01017,22.040369624,38.0,32.6,13.528450886,5.5438086428,32.5,13.314426992,46.88919,10.4,13.2,528.8
01019,19.14485261,35.5,35.9,15.232730666,5.213652244,27.5,11.68212709,38.67126,10.8,12.9,546.0
01021,19.673275015,36.0,29.8,15.064312648,5.6179188639,26.3,15.232994399,18.205399999999997,10.5,14.2,516.3
01023,19.062059567,39.5,33.1,13.025240355,8.8837209302,32.6,11.817741154,37.96507,9.6,13.0,522.3
01025,20.933322707,38.4,29.4,13.353695283,11.147172638,38.9,12.556390977,56.737590000000004,9.6,12.6,464.0
01027,19.13940444,38.1,31.6,14.819133688,6.1532925513,28.2,14.36958345,29.509410000000003,9.9,10.2,531.4
01029,19.710511775,34.6,32.2,15.970047221,6.0881495455,24.5,12.120459998,26.63471,10.3,13.7,591.9
01031,18.201220902,34.2,29.8,15.528419697,6.0533281051,21.3,11.93324715,56.62846,9.6,23.4,409.2
01033,18.371146454,34.6,30.9,15.822772615,7.0105875902,25.1,10.602744723,62.55289,10.2,18.7,504.3
01035,23.479997226,38.2,31.0,11.452551125,8.6218158067,43.9,14.657947686,39.457069999999995,9.1,10.7,548.5
01037,20.5045703,40.1,29.6,13.531703956,6.1431143114,29.3,13.481814951,,10.2,11.6,521.0
01039,20.939810841,33.8,30.9,15.401890515,6.9971413721,28.1,12.263050938,50.218050000000005,9.2,14.9,529.5
01041,19.977136619,39.6,29.9,14.435646239,6.0145713843,28.8,12.80857419,14.323569999999998,9.5,15.6,524.9
01043,20.340604909,34.6,29.3,15.895649522,5.0987670688,20.7,14.146993051,54.874700000000004,11.3,13.7,492.5
01045,18.612184668,36.5,28.8,14.394508845,5.9169239964,29.7,11.472690459,22.193080000000002,9.8,17.0,457.9
01047,22.196834617,42.4,29.8,12.016476546,9.394719897,58.3,12.129689617,70.50643000000001,10.1,15.1,639.9
01049,22.363353159,30.5,32.0,14.89396326,6.2034739454,30.9,17.647356353,40.77042,10.7,12.7,502.9
01051,18.66105088,36.5,29.6,16.572223555,4.9256657409,20.2,9.3176623216,29.459419999999998,11.1,24.5,440.7
01053,20.868077533,38.6,32.0,13.146634924,6.7313606232,30.7,15.545950542,39.69409,9.1,12.7,578.8
01055,23.130358578,36.8,34.2,13.804670623,5.9653200264,26.8,11.970892323,81.50829,11.2,17.7,556.3
01057,20.033000167,35.6,36.6,14.909134106,6.9692801467,29.0,11.914636905,101.43803,10.0,12.9,535.1
01059,20.887482257,33.2,37.7,14.953598093,6.0992494353,29.4,16.446045894,47.324580000000005,9.9,12.9,560.0
01061,22.304880964,36.6,29.3,14.656549773,5.8872077029,31.4,15.686641114,26.14184,9.3,11.1,498.5
01063,24.424960035,42.3,31.5,9.9536821646,10.127894919,49.3,12.125639153,58.96922,9.6,10.1,573.4
01065,22.062634169,41.4,33.5,12.909603702,7.7851239669,34.8,12.067139249,19.90974,9.9,14.1,507.8
01067,19.666628557,37.8,31.0,13.676408836,6.595681751,28.9,13.521545319,29.03432,9.7,18.0,426.3
01069,21.50920125,33.3,29.3,15.605670806,5.8790643589,28.7,11.677067717,92.15440000000001,9.5,21.0,414.8
01071,22.313742769,36.9,31.6,15.125217103,6.4266373329,23.6,13.828701616,55.323449999999994,10.7,14.2,554.9
01073,18.407875572,33.2,28.4,16.131992422,5.8573597334,22.0,11.25380288,106.00166,12.9,32.4,488.4
01075,20.686247914,33.8,33.9,13.901926643,5.6937631395,27.1,12.636806769,,9.7,12.5,541.2
01077,18.749838657,34.8,30.5,14.675525713,6.4242367876,20.9,11.19138957,55.07796999999999,10.5,23.9,435.8
01079,21.1006472,33.6,36.8,15.400817329,7.036200743,24.0,13.600793563,21.13846,10.9,11.7,542.8
01081,18.735733276,29.8,24.6,18.411056288,5.2501611952,18.2,11.549729125,49.68374,11.1,34.1,391.9
01083,18.782646691,33.6,30.4,15.694380923,5.3012939002,17.8,12.090746394,34.91049,11.7,25.5,369.4
01085,22.357404909,46.2,30.6,10.758840108,10.754667368,57.5,12.014092777,9.562059999999999,10.0,14.1,644.6
01087,21.789731149,47.8,32.4,11.820091953,7.7308607944,45.2,10.840550902,36.63962,10.6,20.7,574.7
01089,16.421107871,32.8,22.7,15.591933181,5.2026890562,18.4,10.300320481,91.47835,11.6,41.7,376.3
01091,21.433259575,39.4,33.6,11.608091305,7.4345549738,36.8,10.827629123,34.95107,9.8,15.4,525.2
01093,20.818324633,34.9,33.4,13.824202599,6.7138089941,27.2,13.03550876,23.20339,9.8,13.1,517.1
01095,21.59965441,33.7,30.6,14.571718343,5.4805478124,32.1,15.478430018,58.06280999999999,11.3,19.2,528.6
01097,18.91319867,35.8,29.8,16.46166331,6.8700970328,30.4,12.986366058,67.64646,10.0,22.9,486.5
01099,21.91414582,39.2,32.3,12.120587247,9.3531108364,34.6,14.159090909,32.298249999999996,9.3,14.1,519.8
01101,19.606464367,36.8,26.2,15.895815814,5.8518249986,28.6,12.216801121,89.17574,11.2,32.1,464.4
01103,20.071585907,31.5,29.1,14.66605166,5.5954166742,23.2,13.702025641,52.691,11.3,21.7,447.3
01105,23.270893537,44.1,34.7,11.763064458,10.585520623,51.6,12.716601453,31.081639999999997,9.7,15.7,631.8
01107,21.423252604,35.4,29.1,13.836295055,6.9427070303,36.6,12.517357667,33.55061,9.9,13.5,480.1
01109,22.22820971,41.7,27.3,16.027800504,6.393085703,36.7,13.814277642,48.41736,9.7,23.6,473.7
01111,19.749372459,33.9,29.9,14.261820082,5.6790643768,34.5,13.667578583,26.43638,10.1,14.9,529.7
01113,21.778608294,40.7,30.8,14.661273626,5.6400216603,28.1,11.339886388,25.14247,11.2,16.5,534.9
01115,19.632348196,36.3,30.0,15.679375665,5.3254897896,17.1,11.516312096,18.37518,11.8,16.5,481.3
01117,16.87485205,29.2,24.3,18.774494324,4.3990029542,9.9,8.3852901068,85.7637,11.4,42.1,294.7
01119,23.008034973,40.3,30.8,11.485544016,7.8164495431,44.1,12.46694741,53.422880000000006,9.7,21.8,606.1
01121,21.424848796,40.6,33.6,13.099257709,6.762312757,24.6,11.245530761,32.15355,11.4,14.3,555.5
01123,20.920483463,36.7,33.3,14.419833555,5.6013963821,30.3,11.979585524,44.07012,10.4,18.3,455.3
01125,20.083676791,33.4,27.5,18.835490726,5.769640628,21.9,9.7598349786,72.55756,10.7,30.3,435.6
01127,19.790271885,36.2,33.1,13.755263778,7.6077636605,29.9,12.843932172,45.94603,11.1,11.6,698.4
01129,20.735557107,40.3,32.1,14.618811896,8.7367178276,26.5,12.149125988,11.90193,9.5,11.1,566.7
01131,24.25493419,42.6,34.1,10.977141359,14.702741189,48.8,12.258860476,36.169639999999994,9.4,12.5,645.0
01133,22.780831498,34.7,30.6,14.701218736,7.3274486866,25.1,12.629289768,46.06944,10.4,13.5,475.4
02013,17.427061964,34.9,26.9,16.86403499,2.7221777422,13.5,37.353706112,,,12.7,178.2
